"t","m","merr"
5.829023268519990233e+04,1.864737792489910007e+01,1.674220981512130058e-01
5.829334094909999112e+04,1.839691852853439968e+01,1.456636041091090017e-01
5.830220987269980105e+04,1.475711944662369923e+01,2.414840911943590129e-02
5.830521087960009754e+04,1.515458109689270039e+01,2.584781973081079834e-02
5.830822921299980226e+04,1.663292729087369892e+01,3.510276057424929763e-02
5.831918936340000801e+04,1.842581717689039777e+01,1.379105772200139857e-01
5.833018682869990153e+04,1.883094100589429942e+01,1.985451768388839799e-01
5.833317230319980445e+04,1.721028749850979978e+01,2.570404588406960053e-02
5.833624530090019834e+04,1.695841887156359817e+01,2.403850161636059829e-02
5.834032380789980380e+04,1.869854029032480014e+01,2.374015965489520152e-01
5.834318502310010081e+04,1.870250438316710273e+01,1.902612544572960251e-01
5.834616401620019315e+04,1.870442456826059896e+01,1.821093618966979910e-01
5.836220684030000120e+04,1.685236111549219729e+01,2.330983745577270075e-02
5.836521241900000314e+04,1.856546661790389763e+01,1.523826939064410191e-01
5.836819072919990140e+04,1.872136369450049997e+01,1.933560614034879888e-01
5.837120681709980272e+04,1.868284302828960008e+01,1.645106848375289810e-01
5.837419103010000254e+04,1.861037637797410227e+01,1.545012401895750065e-01
5.838317085650000809e+04,1.877726670804949904e+01,2.028666650039170072e-01
5.838912856480009941e+04,1.865717226851269928e+01,1.774818280675780069e-01
5.849255637730009767e+04,1.877558841862600048e+01,2.162825165957219797e-01
5.851150442129980365e+04,1.501967955770179941e+01,4.180145052456030186e-02
5.854047925930000201e+04,1.890219491264969776e+01,2.178598055923499921e-01
5.855750312499980646e+04,1.880794673713619858e+01,2.144683274321330102e-01
5.856048479169980419e+04,1.897629905072260215e+01,2.555233234744980209e-01
5.857248457180009427e+04,1.493286022876569952e+01,2.600565013736999900e-02
5.858043892360010068e+04,1.883685699724469842e+01,2.500931605012450265e-01
5.858342030090000480e+04,1.874669468688889751e+01,1.839567552792169824e-01
5.858647666670009494e+04,1.885189946446049802e+01,2.037164703026320134e-01
5.860548334489999979e+04,1.921586777901389809e+01,3.402808130394969766e-01
5.860840271989999746e+04,1.929966667636089639e+01,3.313030702059019950e-01
5.861646125000019674e+04,1.909448414373079927e+01,2.529748250284289957e-01
5.863233710649980640e+04,1.889166944350150246e+01,2.507569907266310461e-01
5.863543677080000634e+04,1.934657627309969996e+01,3.440479555504780129e-01
5.863835353010009567e+04,1.930320355534039578e+01,4.214356599035490314e-01
5.864123265049980546e+04,1.925942385010869984e+01,2.872787356358850186e-01
5.864433900459999859e+04,1.924293746642409886e+01,2.987802810521610342e-01
5.864733721059980599e+04,1.960768401715369791e+01,5.200638071761359837e-01
5.865021295139990252e+04,1.922085834481010025e+01,3.674230715566539907e-01
5.865331253470009688e+04,1.942102706129130141e+01,4.298275731444480274e-01
5.865433178240009875e+04,1.908629254166969957e+01,2.544991920644050221e-01
5.865723413190009887e+04,1.929071157028180039e+01,3.360658471309240225e-01
5.866033993059999921e+04,1.923782796854989741e+01,2.951573963875070428e-01
5.866623414350019448e+04,1.470270066535740128e+01,3.458865748207239771e-02
5.867531050929990306e+04,1.859528477742639652e+01,1.833368171582400175e-01
5.867829254630019568e+04,1.853135231330339749e+01,1.475371590070480021e-01
5.868421350689980318e+04,1.880546116252989819e+01,1.879807315508490173e-01
5.869918620369999553e+04,1.616696249896180149e+01,2.902362131385110081e-02
5.870427112270009820e+04,1.883469203369760336e+01,2.266324316863960464e-01
5.870725567130000854e+04,1.834751674612720151e+01,1.414956068426510005e-01
5.871123877310009993e+04,1.861128492568369808e+01,1.757871636836489948e-01
5.871515005790019495e+04,1.906579751539230116e+01,3.219047827272890072e-01
5.871817349540019495e+04,1.877371405334510257e+01,2.050434122983819940e-01
5.873214707180019468e+04,1.880866563205109898e+01,2.486087921097520081e-01
5.873512890049999987e+04,1.898689299380319895e+01,2.653562207185889976e-01
5.873813226849999774e+04,1.921516866209299934e+01,3.813017461994949731e-01
5.874112929400010034e+04,1.912957353612139855e+01,2.760286246463720117e-01
5.874413281250000000e+04,1.926951571518410233e+01,3.774135412539039724e-01
5.874712962959990546e+04,1.950728591274480195e+01,4.585589875283529460e-01
5.875013456019990554e+04,1.929162095724769799e+01,4.216148055886839163e-01
5.875812804399990273e+04,1.905168350359170049e+01,3.080958919782460503e-01
5.876419631939990359e+04,1.628831515873289959e+01,3.385411110634969911e-02
5.877110925929990481e+04,1.532429593273299950e+01,2.847209427066120166e-02
5.877412342590000480e+04,1.727993813235429954e+01,3.665939297907690186e-02
5.877711040510000021e+04,1.832985551599160345e+01,1.312023214459209774e-01
5.878111079860010068e+04,1.889047962402939973e+01,2.658680581965700007e-01
5.878511457180000434e+04,1.897444404659589878e+01,2.920569162050010159e-01
5.879510934029990312e+04,1.944339256788700254e+01,4.851042994779199979e-01
