"t","m","merr"
7973.64983,9.5107,0.022
7973.66415,9.6645,0.017
7973.73873,9.6681,0.019
7991.88356,9.6465,0.019
7991.95816,9.5576,0.016
8021.47324,9.4159,0.021
8021.54785,9.5264,0.021
8021.56216,9.6397,0.025
8144.45109,9.5841,0.016
8144.46539,9.3517,0.016
8144.53998,9.3525,0.019
8144.55429,9.5648,0.017
8144.62886,9.593,0.019
8144.64318,9.6866,0.017
8144.80662,9.3683,0.017
8144.8955,9.5648,0.019
8144.90982,9.6474,0.023
8144.9844,9.648,0.026
8144.99868,9.4305,0.016
8155.02762,9.424,0.02
8155.04194,9.6346,0.032
8155.1165,9.6413,0.019
8155.13083,9.6164,0.016
8155.20537,9.5007,0.019
8155.21971,9.3864,0.017
8155.29427,9.4267,0.021
8155.30859,9.599,0.017
8222.63383,9.6676,0.023
8222.64814,9.5934,0.016
8222.72271,9.4738,0.025
8222.73703,9.3679,0.017
8234.72031,9.6674,0.019
8234.73463,9.6574,0.017
8234.89808,9.362,0.017
8234.9124,9.5386,0.021
8323.44781,9.5177,0.018
8323.46216,9.6404,0.016
8323.53672,9.6594,0.021
8323.55105,9.6192,0.021
8323.63994,9.3829,0.022
8323.71449,9.4448,0.019
8323.72884,9.548,0.016
8323.80339,9.6418,0.022
8323.81773,9.6222,0.017
8323.89231,9.5321,0.021
8323.90665,9.3277,0.022
8329.93689,9.5596,0.018
8329.95124,9.3362,0.027
8330.0258,9.438,0.016
8330.04012,9.5906,0.017
8330.11468,9.632,0.019
8330.12903,9.666,0.016
8330.20362,9.6245,0.024
8366.89745,9.351,0.017
8366.91175,9.4339,0.016
8366.98636,9.5722,0.016
8367.00065,9.6513,0.021
8397.82048,9.5268,0.027
8397.83482,9.614,0.021
8397.90936,9.6442,0.018
8397.92373,9.5323,0.017
8397.99826,9.3656,0.016
8562.07962,9.5689,0.024
8562.09391,9.6742,0.022
8562.16849,9.6441,0.023
8562.1828,9.3778,0.018
8562.27168,9.5175,0.024
8583.32992,9.6653,0.021
8583.4045,9.5426,0.017
8583.41881,9.3417,0.03
8713.26609,9.4506,0.022
8713.28042,9.4028,0.019
8735.57204,9.3924,0.018
8735.58636,9.3718,0.016
8735.66094,9.4839,0.017
8735.67527,9.6299,0.017
8969.31533,9.5972,0.019
8969.32969,9.6635,0.018
8969.40424,9.6714,0.02
8969.66534,9.6171,0.019
8969.75424,9.4522,0.022
8969.84313,9.4867,0.023
8969.85746,9.6422,0.017
8970.03682,9.3453,0.015
8970.11137,9.4293,0.018
8970.1257,9.6204,0.018
8970.20026,9.6481,0.021
8970.21457,9.6188,0.016
8970.28915,9.5478,0.017
8970.55464,9.6133,0.014
8970.56893,9.3623,0.017
8970.64351,9.3997,0.022
8970.65782,9.5298,0.017
8970.73241,9.6284,0.021
8970.74669,9.656,0.017
8970.90812,9.3347,0.021
8970.92246,9.5,0.017
8971.35365,9.6586,0.025
8971.36797,9.4329,0.017
8971.44253,9.3428,0.025
8971.45683,9.4885,0.016
8971.53142,9.5838,0.019
8971.54571,9.6549,0.021
8971.62028,9.6455,0.022
8971.63464,9.5517,0.029
8972.06141,9.4712,0.022
9053.90279,9.67,0.021
9053.91713,9.6546,0.016
9053.99169,9.6009,0.021
9054.00602,9.3314,0.02
9054.08061,9.3881,0.017
9054.09493,9.548,0.033
9061.43789,9.6947,0.018
9061.45223,9.5066,0.023
9061.52679,9.3675,0.021
9061.54113,9.412,0.017
