"t","m","merr"
7866.59658,8.703,0.015
7884.90348,8.875,0.015
7915.91081,8.6382,0.011
7915.92513,8.6845,0.012
7915.99971,8.6666,0.017
7969.13953,8.9996,0.021
7969.15389,8.9881,0.013
7969.22844,9.0174,0.02
7969.24279,9.0281,0.017
7969.31735,9.0452,0.02
8011.43571,8.2075,0.017
8011.45,8.2151,0.014
8033.38717,8.7487,0.021
8033.4015,8.7404,0.02
8033.47605,8.7743,0.017
8033.49038,8.7333,0.013
8069.10519,8.9854,0.018
8069.11953,9.0015,0.015
8069.19409,9.0175,0.018
8069.20842,9.0117,0.012
8099.94034,8.753,0.014
8100.01492,8.7126,0.013
8100.02924,8.7573,0.012
8160.17396,8.313,0.012
8173.31307,9.1572,0.013
8173.32738,9.1358,0.021
8212.30697,8.3132,0.012
8212.3213,8.3287,0.014
8212.39587,8.3078,0.013
8212.41018,8.3294,0.012
8227.16328,8.2271,0.011
8261.08493,8.1972,0.013
8261.09922,8.1902,0.013
8261.17381,8.2147,0.013
8261.18812,8.2067,0.012
8285.96561,9.0517,0.018
8285.97996,9.0192,0.016
8286.05451,9.0579,0.021
8286.06885,9.0191,0.016
8312.35747,8.3609,0.015
8312.37178,8.3318,0.013
8312.44635,8.3702,0.021
8312.4607,8.3395,0.014
8350.92142,8.82,0.015
8350.93574,8.8762,0.016
8351.01033,8.8588,0.013
8351.02466,8.8388,0.015
8351.2024,8.895,0.013
8351.27699,8.8939,0.011
8351.2913,8.8996,0.013
8371.02194,9.1998,0.015
8371.18541,9.2403,0.014
8371.27428,9.2083,0.021
8371.36317,9.2441,0.022
8371.37749,9.2108,0.021
8412.0583,8.3133,0.019
8412.07263,8.3242,0.016
8412.1472,8.3255,0.015
8412.16153,8.3438,0.016
8467.05957,8.8325,0.014
8502.14887,9.0174,0.013
8502.16312,8.9923,0.019
8502.23771,9.0393,0.016
8502.25203,9.0217,0.014
8502.32661,9.0362,0.015
8518.50055,8.9653,0.013
8518.51488,8.9874,0.015
8557.61491,8.9438,0.025
8557.62925,8.9035,0.015
8557.70381,8.9418,0.026
8570.14664,9.1435,0.019
8570.16099,9.138,0.017
8570.23558,9.1362,0.017
8570.24988,9.1276,0.016
8606.6704,9.1176,0.026
8606.83386,9.0562,0.022
8627.18395,8.1987,0.013
8627.1983,8.1831,0.013
8627.27284,8.1877,0.014
8627.28719,8.1731,0.011
8656.68257,9.1293,0.016
8656.69689,9.099,0.02
8656.77148,9.0759,0.013
8656.78582,9.0394,0.026
8711.15579,8.2442,0.013
8711.24469,8.2369,0.012
8711.25901,8.2388,0.013
8711.33358,8.2639,0.014
8711.34792,8.2594,0.013
8711.42247,8.2462,0.016
8711.43679,8.2865,0.015
8711.51138,8.2539,0.011
8711.52568,8.2811,0.017
8754.08802,9.213,0.017
8754.16258,9.2195,0.013
8754.17692,9.2286,0.015
8754.25149,9.2025,0.027
8754.26579,9.2344,0.015
8777.62366,8.2332,0.011
8777.63799,8.2218,0.014
8777.71255,8.2639,0.017
8777.72689,8.2279,0.014
8777.80141,8.2455,0.021
8777.81573,8.231,0.013
8970.53862,9.1979,0.021
8970.55293,9.1824,0.018
8970.62751,9.19,0.017
8970.64184,9.2162,0.024
9015.95703,8.7474,0.024
