"t","m","merr"
4087.83418999985,2.87844421698903e-15,6.70939116619383e-17
4091.85703000007,2.80322206260216e-15,6.37783996857346e-17
4095.84897999978,2.75529740556718e-15,6.25641798217367e-17
4099.83542999998,2.75966639683631e-15,6.82567853032248e-17
4104.82086999994,2.62997945156211e-15,6.47220581797977e-17
4107.8282300001,2.72806961738056e-15,6.21114586782805e-17
4117.85175999999,2.82980238697219e-15,6.51106876479873e-17
4119.79657999985,2.69571947183558e-15,6.15984528411788e-17
4123.76079999981,2.67284509058754e-15,6.18005233651991e-17
4127.8478600001,2.77658940487574e-15,6.50719760021467e-17
4131.77995999996,2.74126503463329e-15,6.21409499853634e-17
4135.81657999987,2.63808630483643e-15,6.01291847822987e-17
4139.78191999998,2.66194022558281e-15,6.09007451103943e-17
4148.88193000015,2.70339589910166e-15,6.21046914679572e-17
4153.77846000018,2.68227908785482e-15,6.07418192191969e-17
4157.79222000018,2.54926314212486e-15,6.03403618265859e-17
4161.74130999995,2.65378146696312e-15,6.0411574569359e-17
4165.78955999995,2.58850224536229e-15,5.88148517067064e-17
4169.7996100001,2.7030885421255e-15,6.56026123820945e-17
4171.82622999977,2.71194948016493e-15,6.67992663233533e-17
4175.8461699998,2.73607838362206e-15,6.79321724374378e-17
4179.79157999996,2.63900707812579e-15,6.05098545977592e-17
4188.75647999998,2.73285572550964e-15,6.27590838839645e-17
4192.73488999996,2.65566141313439e-15,6.01539735801482e-17
4197.79271999979,2.58636846470418e-15,5.98914647158926e-17
4205.73462999985,2.79702762811119e-15,6.88156389595757e-17
4210.70820000023,2.65853109694505e-15,6.02087156541818e-17
4211.70544000017,2.69585514054659e-15,6.0012610908931e-17
4217.69132999983,2.68766789338449e-15,6.02052004512804e-17
4220.64783000015,2.71010547436578e-15,6.07725323974175e-17
4225.68382999999,2.81166717661889e-15,6.72401886067201e-17
4247.61183999991,2.7620928971122e-15,6.18152489804976e-17
4252.58297999995,2.75585007357276e-15,6.32231075770047e-17
4256.56303999992,2.84894607984317e-15,6.56574414282381e-17
4261.58741000015,2.89970022850744e-15,7.22007743168186e-17
4269.58578999992,2.75337013298114e-15,6.41746583887884e-17
4274.56259000022,3.07786444788112e-15,7.48418983945386e-17
4284.55776999984,2.86910400085956e-15,6.87801351223115e-17
4291.52812999999,3.07285631193017e-15,7.31883876558095e-17
4296.52106000017,2.85128933626299e-15,6.88532225160381e-17
4304.46999000013,3.05143442682136e-15,7.35216889204205e-17
4308.4891499998,2.94975485954409e-15,7.1622991015317e-17
4315.46945000021,3.08457081982362e-15,7.39747597868233e-17
4323.52546000015,3.05259133103445e-15,7.88616303478171e-17
4329.47166999988,3.06541700123547e-15,7.37283709025214e-17
4335.50853000022,2.97471926795881e-15,6.68086706538123e-17
4468.84351000004,3.32850875805497e-15,7.65192689633321e-17
4474.81882000016,3.30078646035218e-15,7.46347821639924e-17
4480.84524000017,3.34015368995399e-15,7.71819655997205e-17
4486.82280999981,3.26911819355416e-15,7.44162484676118e-17
4492.78374999994,3.37943931235654e-15,7.70203981114226e-17
4502.83716000011,3.39820488168284e-15,7.67195041630077e-17
4507.80275999987,3.30332762191783e-15,7.67905550694553e-17
4511.80068999995,3.42756479724432e-15,7.75373776106227e-17
4515.7831199998,3.4955202282672e-15,7.95157529339218e-17
4519.82518000016,3.5556512414339e-15,7.9318625517734e-17
4523.75431999983,3.65632652552576e-15,8.44977301119808e-17
4527.81639999989,3.52296972057313e-15,7.754302758219e-17
4532.75288000004,3.79050542884183e-15,9.05502468776022e-17
4536.73890000023,3.61744687037201e-15,8.24358040652877e-17
4540.72053000005,3.63032550586207e-15,8.18936730452516e-17
4544.67275999999,3.61862611914034e-15,8.24025024508711e-17
4548.79163999995,3.55694746832303e-15,8.04634575777791e-17
4551.80183999985,3.56100821707886e-15,7.96644255474585e-17
4555.73974000011,3.55627960150568e-15,8.08150103461265e-17
4559.79307000013,3.51264811290703e-15,7.77932522810036e-17
4561.66160000023,3.58645927466104e-15,8.04201557745114e-17
4566.69457999989,3.58951235010156e-15,8.00293064399735e-17
4570.59187000012,3.54016568370432e-15,8.05223759869201e-17
4574.66785999993,3.50391509594517e-15,7.73039417030774e-17
4578.66249000002,3.45017100254191e-15,7.71119835032037e-17
4582.67787999986,3.37959873463078e-15,7.53075936663686e-17
4587.69652999984,3.34085418907927e-15,7.38636802097018e-17
4591.5797799998,3.4520583858675e-15,7.76493244331733e-17
4595.56917000003,3.44789114252262e-15,7.80605344813656e-17
4599.69323999994,3.37638567757363e-15,8.00387399938321e-17
4600.55863999994,3.46931431647211e-15,7.90492587473114e-17
4603.63915999979,3.5165686625074e-15,7.84451358686371e-17
4607.63364000013,3.24684388388448e-15,7.86297391287911e-17
4611.61176999984,3.39571442529457e-15,7.5447251365635e-17
4620.62099999981,3.38436326273746e-15,7.5811902105965e-17
4624.68192999996,3.41760624859446e-15,7.58741658251017e-17
4628.54618000006,3.46191750958829e-15,7.70621376022945e-17
4632.48938999977,3.37118784242733e-15,8.12162049267554e-17
4639.65028000018,3.37298414295238e-15,7.47772124091326e-17
4643.63012999995,3.31903560084651e-15,7.42166082341822e-17
4647.56426999997,3.31732401844257e-15,7.53738007054377e-17
4650.52682999987,3.33084642828081e-15,7.63510163557325e-17
