"t","m","merr"
2450622.87794,16.196,0.014
2450624.9045,15.927,0.01
2450625.89194,16.287,0.015
2450626.86347,16.132,0.011
2450627.84969,16.121,0.015
2450628.89078,15.909,0.013
2450629.88858,16.334,0.015
2450631.91953,16.101,0.01
2450632.86003,16.143,0.017
2450633.89546,16.291,0.018
2450635.89032,15.976,0.013
2450643.85933,15.945,0.01
2450645.83106,16.198,0.013
2450649.78617,16.219,0.017
2450652.83337,16.223,0.013
2450656.84652,16.237,0.015
2450657.81878,16.142,0.018
2450663.76535,16.185,0.011
2450664.87026,16.297,0.011
2450665.81755,16.088,0.014
2450666.82811,16.102,0.015
2450667.84733,16.209,0.015
2450668.81815,16.227,0.018
2450670.78373,16.001,0.01
2450671.80577,16.294,0.017
2450673.7787,16.072,0.013
2450684.73908,16.105,0.02
2450685.79394,15.926,0.011
2450687.77656,16.211,0.015
2450688.7186,16.13,0.013
2450689.74575,15.948,0.015
2450697.71188,16.168,0.013
2450698.78299,16.218,0.015
2450699.68203,16.195,0.015
2450700.7228,15.98,0.01
2450701.69503,16.267,0.013
2450704.72301,16.03,0.013
2450706.68867,16.236,0.014
2450707.72623,16.086,0.014
2450708.75038,16.1,0.014
2450712.75093,16.099,0.014
2450714.74727,16.265,0.018
2450715.71283,16.082,0.017
2450716.68091,16.074,0.017
2450726.66353,16.131,0.013
2450728.67424,16.137,0.014
2450729.67637,16.293,0.013
2450730.66075,16.124,0.015
2450733.62724,16.203,0.014
2450739.6472,15.973,0.011
2450741.613,16.17,0.014
2450742.58924,16.049,0.017
2450744.63636,16.267,0.014
2450745.5873,16.175,0.014
2450746.7781,16.067,0.017
2450747.64857,16.216,0.014
2450748.6103,16.22,0.013
2450749.61569,16.193,0.017
2450750.60953,16.038,0.015
2450751.61794,16.264,0.014
2450752.73236,16.249,0.013
2450753.66799,16.154,0.014
2450759.62583,16.103,0.014
2450760.65151,16.297,0.015
2450761.73281,16.126,0.015
2450762.61893,16.115,0.013
2450762.64849,16.087,0.013
2450763.63515,16.219,0.015
2450763.7459,16.164,0.015
2450765.56722,16.117,0.014
2450766.60466,15.932,0.015
2450766.70755,15.895,0.015
2450767.6122,16.29,0.018
2450767.77444,16.299,0.017
2450769.59504,16.102,0.013
2450769.66875,16.104,0.01
2450771.63423,16.276,0.018
2450772.59608,16.148,0.011
2450773.60118,16.106,0.013
2450773.75339,16.107,0.015
2450774.59418,16.055,0.011
2450775.55208,16.278,0.017
2450776.63299,16.189,0.014
2450777.60725,15.982,0.011
2450778.61065,16.208,0.013
2450779.63753,16.22,0.015
2450779.74785,16.229,0.014
2450781.55172,15.908,0.013
2450781.73006,16.017,0.014
2450782.61511,16.283,0.014
2450782.74109,16.181,0.015
2450783.53428,16.191,0.013
2450784.5762,16.166,0.015
2450785.60307,15.964,0.017
2450785.74865,16.018,0.02
2450786.60674,16.298,0.015
2450787.68719,16.208,0.015
2450788.62002,16.09,0.014
2450788.64557,16.105,0.014
2450790.56871,16.258,0.015
2450792.54668,15.971,0.011
2450795.61136,16.237,0.013
2450796.54026,16.013,0.014
2450797.70042,16.028,0.017
2450798.56306,16.231,0.011
2450799.70101,16.168,0.015
2450800.616,16.06,0.013
2450806.61357,16.262,0.014
2450808.54497,16.134,0.014
2450816.67596,15.947,0.015
2450817.58605,16.284,0.015
2450819.54884,16.13,0.015
2450820.62514,16.002,0.015
2450822.54571,16.155,0.02
2450824.5715,16.107,0.013
2450825.64463,16.216,0.018
2450828.6048,16.187,0.021
2450829.5714,16.201,0.011
2450832.5783,16.27,0.017
2450833.59817,16.232,0.017
2450834.56777,16.135,0.015
2450836.54591,16.209,0.015
2450838.57887,16.07,0.013
2450840.58863,16.114,0.014
2450845.54036,16.213,0.013
2450855.5685,16.041,0.014
2450859.55631,16.202,0.015
2450875.51094,16.208,0.021
2450962.92473,16.211,0.015
2450966.92422,16.217,0.02
2450970.90061,16.147,0.014
2450976.88125,16.141,0.014
2450986.8356,16.093,0.018
2450987.84924,15.96,0.021
2450991.91726,16.055,0.014
2450996.92119,16.208,0.014
2450998.89229,15.949,0.013
2451004.79087,16.167,0.017
2451006.81948,16.129,0.021
2451020.88895,16.108,0.01
2451025.92673,16.053,0.021
2451035.74166,16.183,0.022
2451037.77086,16.01,0.011
2451041.77903,16.25,0.021
2451045.74074,16.287,0.014
2451048.72193,15.914,0.014
2451052.76479,16.044,0.01
2451055.63809,16.001,0.014
2451059.76803,16.032,0.014
2451061.72081,16.237,0.015
2451064.80469,15.966,0.014
2451068.7061,16.066,0.018
2451072.68623,16.163,0.014
2451076.66402,16.251,0.015
2451078.67457,16.071,0.014
2451081.68712,16.133,0.015
2451084.6253,16.32,0.018
2451087.64519,16.136,0.018
2451090.70158,15.973,0.013
2451092.73368,16.198,0.015
2451094.64038,15.903,0.015
2451102.61055,16.135,0.024
2451106.7054,16.182,0.017
2451116.58299,16.074,0.02
2451120.57156,16.052,0.017
2451126.6469,16.264,0.017
2451129.54537,15.919,0.011
2451132.52842,16.092,0.017
