"t","m","merr"
2450455.67981,16.415,0.01
2450456.68583,16.512,0.014
2450456.79537,16.699,0.012
2450457.58761,16.443,0.011
2450457.63152,16.423,0.011
2450457.69017,16.4,0.011
2450457.74877,16.393,0.011
2450457.80741,16.396,0.012
2450457.83688,16.404,0.012
2450458.66397,16.491,0.012
2450458.73307,16.683,0.013
2450459.58122,16.452,0.012
2450459.62735,16.433,0.011
2450459.68593,16.409,0.011
2450459.74536,16.397,0.011
2450459.78922,16.39,0.011
2450459.83302,16.398,0.012
2450461.5921,16.426,0.011
2450461.63588,16.409,0.011
2450461.69454,16.407,0.011
2450461.76408,16.378,0.012
2450461.82272,16.4,0.013
2450462.59265,16.434,0.011
2450462.65126,16.526,0.011
2450462.69723,16.67,0.012
2450465.69932,16.381,0.012
2450465.74377,16.399,0.012
2450465.82853,16.412,0.011
2450466.67979,16.716,0.014
2450466.74634,16.717,0.012
2450466.83134,16.469,0.011
2450467.68346,16.403,0.011
2450467.78805,16.398,0.011
2450467.85401,16.412,0.013
2450468.69437,16.689,0.012
2450468.76028,16.617,0.012
2450468.8189,16.473,0.011
2450468.85551,16.429,0.011
2450469.69104,16.383,0.012
2450469.76917,16.408,0.013
2450469.83815,16.423,0.013
2450470.76974,16.535,0.014
2450471.67688,16.4,0.012
2450471.81363,16.425,0.017
2450472.65152,16.69,0.013
2450472.69529,16.678,0.012
2450472.73911,16.607,0.014
2450472.80502,16.443,0.013
2450472.83452,16.436,0.015
2450473.71905,16.414,0.015
2450474.73108,16.583,0.013
2450475.56539,16.418,0.013
2450475.62415,16.396,0.013
2450475.69025,16.401,0.014
2450475.74242,16.412,0.014
2450476.77642,16.446,0.016
2450477.56214,16.389,0.011
2450477.61346,16.39,0.011
2450477.7609,16.429,0.013
2450477.84173,16.451,0.013
2450478.56829,16.623,0.012
2450478.78867,16.435,0.011
2450478.84763,16.408,0.013
2450479.5671,16.39,0.011
2450479.61095,16.395,0.011
2450479.73018,16.4,0.012
2450479.84858,16.49,0.015
2450480.60315,16.685,0.013
2450480.68432,16.581,0.011
2450480.77792,16.433,0.012
2450480.82202,16.424,0.013
2450481.58834,16.393,0.011
2450481.73673,16.428,0.012
2450481.78073,16.434,0.012
2450481.82463,16.465,0.014
2450482.73758,16.444,0.011
2450482.81548,16.397,0.012
2450483.60384,16.393,0.013
2450483.64829,16.401,0.012
2450483.6922,16.404,0.012
2450483.73612,16.422,0.012
2450483.78006,16.423,0.012
2450483.82398,16.505,0.017
2450484.60257,16.684,0.013
2450484.71123,16.451,0.011
2450484.75557,16.428,0.011
2450484.79957,16.41,0.012
2450485.60616,16.396,0.011
2450485.75309,16.429,0.011
2450485.79722,16.478,0.012
2450486.60267,16.716,0.013
2450486.68903,16.467,0.013
2450486.74477,16.423,0.012
2450486.78992,16.408,0.012
2450487.62971,16.39,0.01
2450487.67789,16.411,0.011
2450487.72575,16.428,0.011
2450487.76984,16.457,0.012
2450487.81399,16.552,0.012
2450488.61516,16.623,0.013
2450488.65908,16.5,0.01
2450488.72793,16.42,0.013
2450488.77194,16.417,0.012
2450488.81599,16.392,0.014
2450489.59086,16.38,0.01
2450489.67986,16.418,0.011
2450489.72381,16.418,0.012
2450489.76771,16.468,0.013
2450490.58411,16.681,0.011
2450490.7213,16.409,0.012
2450490.76537,16.406,0.012
2450490.80939,16.391,0.012
2450491.60866,16.404,0.011
2450491.66043,16.416,0.012
2450491.70461,16.43,0.012
2450491.81797,16.635,0.014
2450492.59278,16.627,0.013
2450492.66711,16.446,0.015
2450493.59583,16.391,0.011
2450493.6403,16.405,0.011
2450494.59056,16.559,0.012
2450494.63449,16.466,0.012
2450494.67867,16.424,0.011
2450494.72303,16.4,0.012
2450494.76798,16.382,0.008
2450495.59335,16.397,0.012
2450495.66698,16.429,0.013
2450495.72045,16.44,0.016
2450496.58868,16.541,0.013
2450496.63348,16.452,0.014
2450496.67756,16.426,0.015
2450496.72249,16.413,0.015
2450497.69152,16.434,0.013
2450498.58778,16.485,0.013
2450498.63184,16.416,0.011
2450498.74557,16.378,0.012
2450498.78952,16.369,0.013
2450499.58276,16.392,0.012
2450499.62845,16.402,0.011
2450499.76875,16.665,0.018
2450500.53743,16.598,0.015
2450500.58142,16.492,0.014
2450500.62544,16.44,0.017
2450500.67038,16.433,0.015
2450500.72148,16.398,0.014
2450500.76596,16.404,0.015
2450501.58964,16.417,0.013
2450501.70839,16.504,0.015
2450507.57809,16.432,0.012
2450507.62325,16.466,0.019
2450507.69506,16.61,0.018
2450509.57391,16.432,0.012
2450509.62104,16.449,0.013
2450509.67336,16.584,0.017
2450510.61554,16.403,0.013
2450510.66111,16.398,0.013
2450510.70869,16.4,0.014
2450511.70099,16.692,0.018
2450512.60774,16.416,0.014
